InsertionReason,TimeStamps,UnparsedData
129,1393890,88
129,1393893,76
129,1393896,35
129,1393899,0
129,1393902,0
1,1394338,65280
1,1394890,65535
129,1394892,89
129,1394895,76
129,1394898,35
129,1394901,0
129,1394904,0
1,1395339,65317
1,1395340,65280
1,1395891,65455
1,1395892,65535
129,1395893,90
129,1395896,76
129,1395899,35
129,1395902,0
129,1395905,0
1,1396341,65280
1,1396893,65535
129,1396895,91
129,1396898,76
129,1396901,35
129,1396904,0
129,1396907,0
1,1397342,65280
1,1397894,65447
1,1397895,65535
129,1397896,92
129,1397899,76
129,1397902,35
129,1397905,0
129,1397908,0
1,1398344,65280
1,1398896,65535
129,1398898,93
129,1398901,76
129,1398904,35
129,1398907,0
129,1398910,0
1,1399345,65281
1,1399346,65280
1,1399897,65455
1,1399898,65535
129,1399899,94
129,1399902,76
129,1399905,35
129,1399908,0
129,1399911,0
1,1400347,65280
1,1400899,65535
129,1400901,95
129,1400904,76
129,1400907,35
129,1400910,0
129,1400913,0
1,1401348,65317
1,1401349,65280
1,1401900,65535
129,1401902,96
129,1401905,76
129,1401908,35
129,1401911,0
129,1401914,0
1,1402349,65525
1,1402350,65280
1,1402902,65535
129,1402904,97
129,1402907,76
129,1402910,35
129,1402913,0
129,1402916,0
1,1403351,65280
1,1403903,65535
129,1403905,98
129,1403908,76
129,1403911,35
129,1403914,0
129,1403917,0
1,1404352,65317
1,1404353,65280
1,1404904,65317
1,1404905,65535
129,1404906,99
129,1404909,76
129,1404912,35
129,1404915,0
129,1404918,0
1,1405354,65280
1,1405906,65535
129,1405908,100
129,1405911,76
129,1405914,35
129,1405917,0
129,1405920,0
1,1406355,65445
1,1406356,65280
1,1406907,65455
1,1406908,65535
129,1406909,101
129,1406912,76
129,1406915,35
129,1406918,0
129,1406921,0
1,1407357,65280
1,1407909,65535
129,1407911,102
129,1407914,76
129,1407917,35
129,1407920,0
129,1407923,0
1,1408358,65284
1,1408359,65280
1,1408910,65445
1,1408911,65535
129,1408912,103
129,1408915,76
129,1408918,35
129,1408921,0
129,1408924,0
1,1409360,65280
1,1409912,65535
129,1409914,104
129,1409917,76
129,1409920,35
129,1409923,0
129,1409926,0
1,1410361,65284
1,1410362,65280
1,1410913,65316
1,1410914,65535
129,1410915,105
129,1410918,76
129,1410921,35
129,1410924,0
129,1410927,0
1,1411363,65280
1,1411914,65312
1,1411915,65535
129,1411916,106
129,1411919,76
129,1411922,35
129,1411925,0
129,1411928,0
1,1412364,65280
1,1412916,65519
1,1412917,65535
129,1412918,107
129,1412921,76
129,1412924,35
129,1412927,0
129,1412930,0
1,1413366,65280
1,1413918,65535
129,1413920,108
129,1413923,76
129,1413926,35
129,1413929,0
129,1413932,0
1,1414367,65284
1,1414368,65280
1,1414919,65455
1,1414920,65535
129,1414921,109
129,1414924,76
129,1414927,35
129,1414930,0
129,1414933,0
1,1415369,65280
1,1415921,65535
129,1415923,110
129,1415926,76
129,1415929,35
129,1415932,0
129,1415935,0
1,1416370,65284
1,1416371,65280
1,1416922,65319
1,1416923,65535
129,1416924,111
129,1416927,76
129,1416930,35
129,1416933,0
129,1416936,0
1,1417372,65280
1,1417924,65535
129,1417925,112
129,1417928,76
129,1417931,35
129,1417934,0
129,1417937,0
1,1418373,65280
1,1418925,65455
1,1418926,65535
129,1418927,113
129,1418930,76
129,1418933,35
129,1418936,0
129,1418939,0
1,1419375,65280
1,1419927,65535
129,1419929,114
129,1419932,76
129,1419935,35
129,1419938,0
129,1419941,0
1,1420376,65313
1,1420377,65280
1,1420928,65313
1,1420929,65535
129,1420930,115
129,1420933,76
129,1420936,35
129,1420939,0
129,1420942,0
1,1421378,65280
1,1421930,65535
129,1421932,116
129,1421935,76
129,1421938,35
129,1421941,0
129,1421944,0
1,1422379,65317
1,1422380,65280
1,1422931,65281
1,1422932,65535
129,1422933,117
129,1422936,76
129,1422939,35
129,1422942,0
129,1422945,0
1,1423381,65280
1,1423933,65535
129,1423935,118
129,1423938,76
129,1423941,35
129,1423944,0
129,1423947,0
1,1424382,65469
1,1424383,65280
1,1424934,65284
1,1424935,65535
129,1424936,119
129,1424939,76
129,1424942,35
129,1424945,0
129,1424948,0
1,1425384,65280
1,1425936,65455
1,1425937,65535
129,1425938,120
129,1425941,76
129,1425944,35
129,1425947,0
129,1425950,0
1,1426386,65280
1,1426938,65535
129,1426940,121
129,1426943,76
129,1426946,35
129,1426949,0
129,1426952,0
1,1427387,65280
1,1427939,65447
1,1427940,65535
129,1427941,122
129,1427944,76
129,1427947,35
129,1427950,0
129,1427953,0
1,1428389,65280
1,1428941,65535
129,1428943,123
129,1428946,76
129,1428949,35
129,1428952,0
129,1428955,0
1,1429390,65313
1,1429391,65280
1,1429942,65445
1,1429943,65535
129,1429944,124
129,1429947,76
129,1429950,35
129,1429953,0
129,1429956,0
1,1430392,65280
1,1430944,65535
129,1430946,125
129,1430949,76
129,1430952,35
129,1430955,0
129,1430958,0
1,1431393,65317
1,1431394,65280
1,1431945,65519
1,1431946,65535
129,1431947,126
129,1431950,76
129,1431953,35
129,1431956,0
129,1431959,0
1,1432395,65280
1,1432947,65535
129,1432949,127
129,1432952,76
129,1432955,35
129,1432958,0
129,1432961,0
1,1433396,65280
1,1433948,65447
1,1433949,65535
129,1433950,0
129,1433953,77
129,1433956,35
129,1433959,0
129,1433962,0
1,1434398,65280
1,1434950,65535
129,1434952,1
129,1434955,77
129,1434958,35
129,1434961,0
129,1434964,0
1,1435399,65389
1,1435400,65280
1,1435951,65316
1,1435952,65535
129,1435953,2
129,1435956,77
129,1435959,35
129,1435962,0
129,1435965,0
1,1436401,65280
1,1436953,65535
129,1436955,3
129,1436958,77
129,1436961,35
129,1436964,0
129,1436967,0
1,1437402,65471
1,1437403,65280
1,1437954,65312
1,1437955,65535
129,1437956,4
129,1437962,35
129,1437965,0
129,1437968,0
1,1438404,65280
1,1438956,65471
1,1438957,65535
129,1438958,5
129,1438961,77
129,1438964,35
129,1438967,0
129,1438970,0
1,1439406,65280
1,1439958,65535
129,1439960,6
129,1439963,77
129,1439966,35
129,1439969,0
129,1439972,0
1,1440407,65281
1,1440408,65280
1,1440959,65327
1,1440960,65535
129,1440961,7
129,1440964,77
129,1440967,35
129,1440970,0
129,1440973,0
1,1441409,65280
1,1441961,65535
129,1441963,8
129,1441966,77
129,1441969,35
129,1441972,0
129,1441975,0
1,1442410,65285
1,1442411,65280
1,1442962,65471
1,1442963,65535
129,1442964,9
129,1442967,77
129,1442970,35
129,1442973,0
129,1442976,0
1,1443411,65509
1,1443412,65280
1,1443964,65535
129,1443965,10
129,1443968,77
129,1443971,35
129,1443974,0
129,1443977,0
1,1444413,65280
1,1444965,65519
1,1444966,65535
129,1444967,11
129,1444970,77
129,1444973,35
129,1444976,0
129,1444979,0
1,1445414,65407
1,1445415,65280
1,1445966,65317
1,1445967,65535
129,1445968,12
129,1445971,77
129,1445974,35
129,1445977,0
129,1445980,0
1,1446416,65280
1,1446968,65535
129,1446970,13
129,1446973,77
129,1446976,35
129,1446979,0
129,1446982,0
1,1447417,65317
1,1447418,65280
1,1447969,65312
1,1447970,65535
129,1447971,14
129,1447974,77
129,1447977,35
129,1447980,0
129,1447983,0
1,1448419,65280
1,1448971,65519
1,1448972,65535
129,1448973,15
129,1448976,77
129,1448979,35
129,1448982,0
129,1448985,0
1,1449420,65405
1,1449421,65280
1,1449973,65535
129,1449974,16
129,1449977,77
129,1449980,35
129,1449983,0
129,1449986,0
1,1450422,65280
1,1450974,65463
1,1450975,65535
129,1450976,17
129,1450979,77
129,1450982,35
129,1450985,0
129,1450988,0
1,1451424,65280
1,1451976,65535
129,1451978,18
129,1451981,77
129,1451984,35
129,1451987,0
129,1451990,0
1,1452425,65312
1,1452426,65280
1,1452977,65317
1,1452978,65535
129,1452979,19
129,1452982,77
129,1452985,35
129,1452988,0
129,1452991,0
1,1453427,65280
1,1453979,65535
129,1453981,20
129,1453984,77
129,1453987,35
129,1453990,0
129,1453993,0
1,1454428,65333
1,1454429,65280
1,1454981,65535
129,1454982,21
129,1454985,77
129,1454988,35
129,1454991,0
129,1454994,0
1,1455430,65280
1,1455982,65535
129,1455984,22
129,1455987,77
129,1455990,35
129,1455993,0
129,1455996,0
1,1456431,65471
1,1456432,65280
1,1456984,65535
129,1456988,77
129,1456994,0
1,1457433,65280
1,1457985,65317
1,1457986,65535
129,1457987,24
129,1457990,77
129,1457993,35
129,1457996,0
129,1457999,0
1,1458435,65280
1,1458986,65314
1,1458987,65535
129,1458988,25
129,1458991,77
129,1458994,35
129,1458997,0
129,1459000,0
1,1459436,65280
1,1459988,65535
129,1459990,26
129,1459993,77
129,1459996,35
129,1459999,0
129,1460002,0
1,1460437,65280
1,1460989,65455
1,1460990,65535
129,1460991,27
129,1460994,77
129,1460997,35
129,1461000,0
129,1461003,0
1,1461439,65280
1,1461991,65535
129,1461993,28
129,1461996,77
129,1461999,35
129,1462002,0
129,1462005,0
1,1462440,65280
1,1462992,65447
1,1462993,65535
129,1462994,29
129,1462997,77
129,1463000,35
129,1463003,0
129,1463006,0
1,1463442,65280
1,1463994,65535
129,1463996,30
129,1463999,77
129,1464002,35
129,1464005,0
129,1464008,0
1,1464443,65285
1,1464444,65280
